Date Separator: / (379)
    フラ語 (ラテン文字、セネガル), 0x0867, ff-Latn-SN
    フィリピノ語 (フィリピン), 0x0464, fil-PH
    フランス語 (カリブ), 0x1C0C, fr-029
    フランス語 (ベルギー), 0x080C, fr-BE
    フランス語 (ブルキナファソ), 0x1000, fr-BF
    フランス語 (ブルンジ), 0x1000, fr-BI
    フランス語 (ベナン), 0x1000, fr-BJ
    フランス語 (サン・バルテルミー), 0x1000, fr-BL
    フランス語 (コンゴ民主共和国[キンシャサ]), 0x240C, fr-CD
    フランス語 (中央アフリカ共和国), 0x1000, fr-CF
    フランス語 (コンゴ共和国[ブラザビル]), 0x1000, fr-CG
    フランス語 (コートジボワール), 0x300C, fr-CI
    フランス語 (カメルーン), 0x2C0C, fr-CM
    フランス語 (ジブチ), 0x1000, fr-DJ
    フランス語 (アルジェリア), 0x1000, fr-DZ
    フランス語 (フランス), 0x040C, fr-FR
    フランス語 (ガボン), 0x1000, fr-GA
    フランス語 (仏領ギアナ), 0x1000, fr-GF
    フランス語 (ギニア), 0x1000, fr-GN
    フランス語 (グアドループ), 0x1000, fr-GP
    フランス語 (赤道ギニア), 0x1000, fr-GQ
    フランス語 (ハイチ), 0x3C0C, fr-HT
    フランス語 (コモロ), 0x1000, fr-KM
    フランス語 (ルクセンブルク), 0x140C, fr-LU
    フランス語 (モロッコ), 0x380C, fr-MA
    フランス語 (モナコ), 0x180C, fr-MC
    フランス語 (サン・マルタン), 0x1000, fr-MF
    フランス語 (マダガスカル), 0x1000, fr-MG
    フランス語 (マリ), 0x340C, fr-ML
    フランス語 (マルティニーク), 0x1000, fr-MQ
    フランス語 (モーリタニア), 0x1000, fr-MR
    フランス語 (モーリシャス), 0x1000, fr-MU
    フランス語 (ニューカレドニア), 0x1000, fr-NC
    フランス語 (ニジェール), 0x1000, fr-NE
    フランス語 (仏領ポリネシア), 0x1000, fr-PF
    フランス語 (サンピエール島・ミクロン島), 0x1000, fr-PM
    フランス語 (レユニオン), 0x200C, fr-RE
    フランス語 (ルワンダ), 0x1000, fr-RW
    フランス語 (セーシェル), 0x1000, fr-SC
    フランス語 (セネガル), 0x280C, fr-SN
    フランス語 (シリア), 0x1000, fr-SY
    フランス語 (チャド), 0x1000, fr-TD
    フランス語 (トーゴ), 0x1000, fr-TG
    フランス語 (チュニジア), 0x1000, fr-TN
    フランス語 (バヌアツ), 0x1000, fr-VU
    フランス語 (ウォリス・フツナ), 0x1000, fr-WF
    フランス語 (マヨット), 0x1000, fr-YT
    フリウリ語 (イタリア), 0x1000, fur-IT
    アイルランド語 (イギリス), 0x1000, ga-GB
    アイルランド語 (アイルランド), 0x083C, ga-IE
    スコットランド・ゲール語 (イギリス), 0x0491, gd-GB
    ガリシア語 (スペイン), 0x0456, gl-ES
    グジャラート語 (インド), 0x0447, gu-IN
    グシイ語 (ケニア), 0x1000, guz-KE
    ハウサ語 (ガーナ), 0x1000, ha-GH
    ハウサ語 (ニジェール), 0x1000, ha-NE
    ハウサ語 (ナイジェリア), 0x1000, ha-NG
    ハワイ語 (アメリカ合衆国), 0x0475, haw-US
    ヒンディー語 (インド), 0x0439, hi-IN
    イビビオ語 (ナイジェリア), 0x0469, ibb-NG
    インドネシア語 (インドネシア), 0x0421, id-ID
    イボ語 (ナイジェリア), 0x0470, ig-NG
    イタリア語 (イタリア), 0x0410, it-IT
    イタリア語 (サンマリノ), 0x1000, it-SM
    イタリア語 (バチカン市国), 0x1000, it-VA
    イヌクティトット語 (カナダ), 0x1000, iu-CA
    日本語 (日本), 0x0411, ja-JP
    マチャメ語 (タンザニア), 0x1000, jmc-TZ
    カビル語 (アルジェリア), 0x1000, kab-DZ
    カンバ語 (ケニア), 0x1000, kam-KE
    マコンデ語 (タンザニア), 0x1000, kde-TZ
    カーボベルデ・クレオール語 (カーボベルデ), 0x1000, kea-CV
    コイラ・チーニ語 (マリ), 0x1000, khq-ML
    キクユ語 (ケニア), 0x1000, ki-KE
    カコ語 (カメルーン), 0x1000, kkj-CM
    カレンジン語 (ケニア), 0x1000, kln-KE
    クメール語 (カンボジア), 0x0453, km-KH
    カンナダ語 (インド), 0x044B, kn-IN
    カヌリ語 (ラテン文字、ナイジェリア), 0x1000, kr-Latn-NG
    カシミール語 (アラビア文字、インド), 0x1000, ks-Arab-IN
    サンバー語 (タンザニア), 0x1000, ksb-TZ
    バフィア語 (カメルーン), 0x1000, ksf-CM
    キルギス語 (キルギス), 0x0440, ky-KG
    ランギ語 (タンザニア), 0x1000, lag-TZ
    ガンダ語 (ウガンダ), 0x1000, lg-UG
    ラコタ語 (アメリカ合衆国), 0x1000, lkt-US
    リンガラ語 (アンゴラ), 0x1000, ln-AO
    リンガラ語 (コンゴ民主共和国[キンシャサ]), 0x1000, ln-CD
    リンガラ語 (中央アフリカ共和国), 0x1000, ln-CF
    リンガラ語 (コンゴ共和国[ブラザビル]), 0x1000, ln-CG
    ラオ語 (ラオス), 0x0454, lo-LA
    ルバ・カタンガ語 (コンゴ民主共和国[キンシャサ]), 0x1000, lu-CD
    ルオ語 (ケニア), 0x1000, luo-KE
    ルヒヤ語 (ケニア), 0x1000, luy-KE
    マイティリー語 (インド), 0x1000, mai-IN
    マサイ語 (ケニア), 0x1000, mas-KE
    マサイ語 (タンザニア), 0x1000, mas-TZ
    メル語 (ケニア), 0x1000, mer-KE
    モーリシャス・クレオール語 (モーリシャス), 0x1000, mfe-MU
    マクア・ミート語 (モザンビーク), 0x1000, mgh-MZ
    マラヤーラム語 (インド), 0x044C, ml-IN
    マニプリ語 (ベンガル文字、インド), 0x1000, mni-Beng-IN
    マラーティー語 (インド), 0x044E, mr-IN
    マレー語 (ブルネイ), 0x083E, ms-BN
    マレー語 (インドネシア), 0x1000, ms-ID
    マレー語 (マレーシア), 0x043E, ms-MY
    マレー語 (シンガポール), 0x1000, ms-SG
    マルタ語 (マルタ), 0x043A, mt-MT
    ムンダン語 (カメルーン), 0x1000, mua-CM
    ナマ語 (ナミビア), 0x1000, naq-NA
    北ンデベレ語 (ジンバブエ), 0x1000, nd-ZW
    ネパール語 (インド), 0x0861, ne-IN
    ネパール語 (ネパール), 0x0461, ne-NP
    オランダ語 (ベルギー), 0x0813, nl-BE
